Customer_ID,Name,Age,Gender,Annual_Income,Monthly_Salary,Monthly_Spending,Purchase_Frequency,Churn
1001,Deepika,33,Female,424964,35413,13096,9,0
1002,Teja,54,Male,398904,33242,10829,15,1
1003,Rohit,22,Female,714792,59566,34136,17,0
1004,Akhil,50,Female,510149,42512,16307,10,0
1005,Swathi,24,Female,774379,64531,50824,15,1
1006,Akhil,46,Female,1309677,109139,40724,6,0
1007,Vamsi,41,Female,797488,66457,51903,8,1
1008,Kiran,27,Female,932565,77713,58844,15,1
1009,Akhil,34,Male,1315949,109662,48488,10,1
1010,Ravi,34,Female,1457607,121467,97121,11,1
1011,Nikhil,58,Male,1241908,103492,60007,17,1
1012,Varun,54,Male,1482591,123549,35130,9,1
1013,Pooja,39,Male,504409,42034,10840,14,1
1014,Manoj,48,Female,735432,61286,40310,20,0
1015,Sneha,59,Male,1295063,107921,50774,19,1
1016,Anjali,32,Female,1087124,90593,42917,13,0
1017,Lakshmi,44,Male,1154831,96235,62679,15,0
1018,Sindhu,54,Male,1184701,98725,46848,19,1
1019,Sneha,54,Male,726043,60503,36827,10,0
1020,Harsha,27,Female,1370169,114180,58887,15,1
1021,Manoj,25,Male,1164894,97074,32334,11,0
1022,Sindhu,48,Female,732904,61075,25321,5,1
1023,Arjun,58,Female,433699,36141,21576,20,0
1024,Akhil,49,Male,722394,60199,37791,10,0
1025,Sai,51,Male,1431026,119252,52764,17,0
1026,Manoj,50,Female,1114827,92902,71818,12,0
1027,Arjun,19,Male,960113,80009,28709,13,1
1028,Lakshmi,30,Female,676711,56392,29648,10,1
1029,Teja,34,Female,693003,57750,44440,2,1
1030,Sneha,32,Female,983085,81923,49814,1,0
1031,Varun,42,Male,346371,28864,13787,17,0
1032,Meghana,52,Female,1469309,122442,60079,14,0
1033,Manoj,59,Male,392634,32719,7904,3,1
1034,Divya,26,Male,1327441,110620,23644,15,0
1035,Deepika,41,Female,987342,82278,43221,2,1
1036,Manoj,23,Female,1089028,90752,64626,4,0
1037,Jairam,27,Male,739993,61666,29090,14,0
1038,Kiran,57,Female,1462703,121891,72874,7,1
1039,Sneha,53,Female,1429611,119134,76050,20,0
1040,Rohit,42,Female,451080,37590,16156,11,0
1041,Bhavya,52,Female,1095201,91266,46499,12,1
1042,Anjali,18,Female,382339,31861,20190,20,0
1043,Ravi,60,Female,1356190,113015,42146,8,0
1044,Teja,51,Female,1455880,121323,43873,11,0
1045,Rakesh,28,Female,1349140,112428,38651,20,1
1046,Priya,38,Female,534062,44505,14669,10,0
1047,Deepika,56,Male,1448351,120695,67371,3,0
1048,Sindhu,25,Male,472873,39406,15865,14,1
1049,Jairam,42,Female,349556,29129,7378,11,1
1050,Pooja,28,Male,468368,39030,9939,6,0
1051,Swathi,36,Female,351417,29284,14670,18,0
1052,Ravi,50,Male,1030383,85865,39556,14,0
1053,Deepika,45,Female,1436830,119735,41070,16,0
1054,Manoj,26,Female,431892,35991,13765,5,0
1055,Priya,58,Female,701453,58454,41395,10,1
1056,Jairam,40,Male,1351282,112606,32594,8,0
1057,Manoj,33,Male,330585,27548,10415,11,0
1058,Sindhu,41,Female,432169,36014,24093,17,1
1059,Priya,32,Female,442639,36886,26180,11,0
1060,Jairam,51,Female,884274,73689,42097,5,1
1061,Deepika,51,Male,441306,36775,28767,15,0
1062,Manoj,29,Male,1382786,115232,61874,15,1
1063,Kiran,38,Male,1400118,116676,63150,8,1
1064,Rohit,31,Male,306662,25555,11757,12,1
1065,Manoj,18,Female,873570,72797,51053,17,0
1066,Deepika,22,Male,1041360,86780,65627,7,0
1067,Anjali,23,Male,548292,45691,29658,16,1
1068,Kiran,39,Female,811616,67634,46679,1,1
1069,Meghana,58,Male,1449853,120821,68653,12,1
1070,Akhil,29,Male,598589,49882,32515,19,0
1071,Lakshmi,49,Female,506381,42198,16234,8,1
1072,Jairam,34,Female,1140716,95059,62532,1,0
1073,Suresh,52,Male,498539,41544,23606,4,0
1074,Meghana,37,Female,1484861,123738,85274,7,1
1075,Arjun,55,Male,886492,73874,35139,11,1
1076,Lakshmi,38,Female,1422250,118520,93982,9,1
1077,Bhavya,38,Female,629684,52473,31236,11,1
1078,Sindhu,30,Female,365430,30452,15264,19,1
1079,Sai,35,Female,1144002,95333,73851,9,0
1080,Arjun,38,Female,942251,78520,44410,9,1
1081,Pooja,35,Male,678634,56552,18391,13,1
1082,Bhavya,41,Male,658732,54894,38833,20,1
1083,Arjun,43,Female,1308094,109007,29450,8,0
1084,Divya,36,Male,957178,79764,25892,12,0
1085,Kavya,50,Male,1230326,102527,33338,9,1
1086,Sneha,41,Male,1381646,115137,64449,14,0
1087,Bhavya,52,Female,1373118,114426,51998,15,0
1088,Lakshmi,45,Female,911737,75978,49063,4,1
1089,Akhil,56,Female,1499592,124966,86336,17,0
1090,Deepika,47,Male,733809,61150,48873,15,1
1091,Kavya,27,Male,1271616,105968,38706,9,0
1092,Keerthi,34,Male,1435689,119640,49987,5,0
1093,Pooja,26,Male,1008867,84072,59167,6,1
1094,Lakshmi,55,Male,1115011,92917,62432,15,0
1095,Nikhil,21,Female,692894,57741,20894,3,1
1096,Keerthi,18,Male,1150506,95875,60414,3,0
1097,Keerthi,41,Female,713697,59474,36774,13,0
1098,Varun,55,Male,1212694,101057,22824,19,0
1099,Deepika,50,Male,1042858,86904,59993,4,0
1100,Ravi,43,Male,1074785,89565,70793,16,0
